query,batch_index,index_of_audio_output_tensor),audio_file_name,similarity_score_by_model,user_relevance_score
large group birds singing various patterns,2271,691,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/FR.BirdChatAmbience.26.wav,0.5864,10
large group birds singing various patterns,2271,713,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/birds in dunes sunset NL 150510_06.wav,0.5854,10
large group birds singing various patterns,2271,1025,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Kauai Sunrise.wav,0.5596,10
large group birds singing various patterns,2271,203,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/spring morning birds oiseaux reveil printemps #1.wav,0.5318,10
large group birds singing various patterns,2271,577,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Tiergarten birds early morning.wav,0.5252,8
large group birds singing various patterns,2271,787,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/OrchardBirds.wav,0.5186,10
large group birds singing various patterns,2271,331,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Swifts.wav,0.5159,10
large group birds singing various patterns,2271,498,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Spring Birds Raw (New Jersey).wav,0.5103,6
large group birds singing various patterns,2271,358,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Neighborhood  Bird Ambiance 3.wav,0.5055,10
large group birds singing various patterns,2271,176,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/FOREST_BIRDS_WOODPECKER.wav,0.4988,10
large group birds singing various patterns,6944,53,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Mockingbird singing @ Alfama.wav,0.4953,10
large group birds singing various patterns,6944,418,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/201106092013VauxsSwiftsSteigerwaldLakeNWR.wav,0.4918,8
large group birds singing various patterns,6944,256,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/City forest.wav,0.4891,8
large group birds singing various patterns,6944,114,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/birds_stereo.wav,0.4832,8
large group birds singing various patterns,6944,675,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/sparrows.wav,0.4832,10
large group birds singing various patterns,6944,720,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/STE-018_lisbonbirds.wav,0.4557,8
large group birds singing various patterns,6944,814,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/AMBIENCE- night time crickets insects wild sound (SFX).wav,0.4522,4
large group birds singing various patterns,6944,217,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20080320.farm.ambiance.2.wav,0.4512,8
large group birds singing various patterns,6944,723,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Birds of Klein Profijt.wav,0.4469,10
large group birds singing various patterns,6944,194,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20100422.waterfall.birds.wav,0.4469,10
large group birds singing various patterns,9405,343,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Stream Honiton.wav,0.4464,6
large group birds singing various patterns,9405,290,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/london-st-james-park-feeding-the-birds.wav,0.4378,10
large group birds singing various patterns,9405,817,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Backyard Birds-001.wav,0.4352,6
large group birds singing various patterns,9405,563,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Ambience birds.wav,0.434,10
large group birds singing various patterns,9405,384,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Blackbird 252.wav,0.433,6
large group birds singing various patterns,9405,146,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Dogs barking from barn in distance in the morning.wav,0.4236,6
large group birds singing various patterns,9405,967,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/easter morning birdsong.wav,0.4173,8
large group birds singing various patterns,9405,467,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Ronda - The Old Shrine - La antigua Ermita.wav,0.4109,10
large group birds singing various patterns,9405,870,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Wide Stereo Outdoor Ambience - Birds, distant cars.wav",0.3953,4
large group birds singing various patterns,9405,0,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/bird-chatter4.wav,0.3952,10
large group birds singing various patterns,4216,338,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Elizabeth Evans Park - Mount Dora - June.wav,0.3897,4
large group birds singing various patterns,4216,1022,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/squirrel upset.wav,0.3845,4
large group birds singing various patterns,4216,371,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Howler monkey and other monkey or bird.wav,0.3834,4
large group birds singing various patterns,4216,330,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/SpringWoodsWarblersPlusDistantGeeseMay52013.wav,0.3797,10
large group birds singing various patterns,4216,856,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/metalic birds.wav,0.3748,8
large group birds singing various patterns,4216,807,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/moucho-I.wav,0.3743,10
large group birds singing various patterns,4216,291,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Bush bird noises.wav,0.3708,10
large group birds singing various patterns,4216,866,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/porto_morning_tropical_birds_market_20.wav,0.3682,10
large group birds singing various patterns,4216,78,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Calm down-town morning 02 150722_0706.wav,0.3678,10
large group birds singing various patterns,4216,576,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/BirdCallBackyard2016Long.wav,0.3674,10
large group birds singing various patterns,4793,907,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20110206_bright.winter.morning.wav,0.367,8
large group birds singing various patterns,4793,209,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20061215.early.morning.wav,0.3605,4
