file_name,caption_1,caption_2,caption_3,caption_4,caption_5
uniform_soundscape_dog_bark_car_horn_1.wav,"In the background, a car horn can be heard while a dog barks in the foreground.",A dog barks in the foreground as a car horn sounds in the background.,"The foreground is filled with the sound of a dog barking, accompanied by a distant car horn in the background.",A dog barks loudly in the foreground while a faint car horn can be heard in the background.,"Amidst the background noise of a car horn, a dog barks in the foreground."
uniform_soundscape_dog_bark_car_horn_4.wav,"In the background, a car horn can be heard while a dog barks in the foreground.",A dog barks in the foreground as a car horn sounds in the background.,"The foreground is filled with the sound of a dog barking, accompanied by a distant car horn in the background.","While a dog barks in the foreground, a faint car horn can be heard in the background.",The background noise of a car horn is present as a dog barks loudly in the foreground.
uniform_soundscape_dog_bark_car_horn_8.wav,"In the background, a car horn can be heard while a dog barks in the foreground.",A dog barks in the foreground as a car horn sounds in the background.,"The foreground is filled with the sound of a dog barking, accompanied by a distant car horn in the background.","While a dog barks in the foreground, a faint car horn can be heard in the background.",The background noise of a car horn is present as a dog barks loudly in the foreground.
uniform_soundscape_dog_bark_car_horn_9.wav,"In the background, a car horn can be heard while a dog barks in the foreground.",A dog barks in the foreground as a car horn sounds in the background.,"The foreground is filled with the sound of a dog barking, accompanied by a distant car horn in the background.",A dog barks loudly in the foreground while a faint car horn can be heard in the background.,"Amidst the background noise of a car horn, a dog barks in the foreground."
uniform_soundscape_dog_bark_car_horn_12.wav,A car horn can be heard in the background while a dog barks in the foreground.,"In the foreground, a dog barks while a car horn is heard in the background.","The sound of a dog barking is prominent in the foreground, accompanied by a faint car horn in the background.","Amidst the background noise of a car horn, a dog barks in the foreground.",A dog barks loudly in the foreground while a car horn can be faintly heard in the background.
uniform_soundscape_siren_air_conditioner_1.wav,An air conditioner hums softly in the background.,The sound of an air conditioner can be heard in the background.,"In the background, there is a constant hum of an air conditioner.",A gentle hum of an air conditioner fills the background.,The background is filled with the soothing sound of an air conditioner.
uniform_soundscape_siren_air_conditioner_4.wav,An air conditioner hums softly in the background.,The sound of an air conditioner can be heard in the background.,"In the background, there is a constant hum of an air conditioner.",A gentle hum of an air conditioner fills the background.,The background is filled with the soothing sound of an air conditioner.
uniform_soundscape_siren_air_conditioner_8.wav,An air conditioner hums softly in the background.,The sound of an air conditioner can be heard in the background.,"In the background, there is a gentle hum of an air conditioner.",A quiet air conditioner hums softly in the background.,The background is filled with the soothing sound of an air conditioner.
uniform_soundscape_siren_air_conditioner_9.wav,An air conditioner hums softly in the background.,The sound of an air conditioner can be heard in the background.,"In the background, there is a constant hum of an air conditioner.",A gentle hum of an air conditioner fills the background.,The background is filled with the soothing sound of an air conditioner.
uniform_soundscape_siren_air_conditioner_12.wav,An air conditioner hums softly in the background.,The sound of an air conditioner can be heard in the background.,"In the background, there is a constant hum of an air conditioner.","A gentle hum fills the background, indicating the presence of an air conditioner.",The background is filled with the soothing sound of an air conditioner.
uniform_soundscape_children_playing_jackhammer_1.wav,A jackhammer is heard in the background.,Children playing can be heard in the foreground.,The sound of children playing is prominent in the foreground.,"In the foreground, children can be heard playing.","Amidst the background noise of a jackhammer, children can be heard playing in the foreground."
uniform_soundscape_children_playing_jackhammer_4.wav,A jackhammer is heard in the background while children are playing in the foreground.,"In the foreground, children can be heard playing while a jackhammer operates in the background.","The sound of children playing fills the foreground, accompanied by the distant noise of a jackhammer in the background.","Amidst the background noise of a jackhammer, children can be heard playing in the foreground.","Children playing create a lively atmosphere in the foreground, contrasting with the constant hum of a jackhammer in the background."
uniform_soundscape_children_playing_jackhammer_8.wav,A jackhammer is heard in the background while children are playing in the foreground.,"In the foreground, children can be heard playing while a jackhammer operates in the background.","The sound of children playing fills the foreground, accompanied by the distant noise of a jackhammer in the background.","Amidst the background noise of a jackhammer, children can be heard playing in the foreground.","Children playing create a lively atmosphere in the foreground, while a jackhammer hums away in the background."
uniform_soundscape_children_playing_jackhammer_9.wav,A jackhammer is heard in the background.,Children playing can be heard in the foreground.,"The sound of a jackhammer is in the background, while children playing can be heard in the foreground.","In the background, there is the sound of a jackhammer, and in the foreground, children can be heard playing.","The background noise includes a jackhammer, while the foreground is filled with the sound of children playing."
uniform_soundscape_children_playing_jackhammer_12.wav,A jackhammer is heard in the background while children are playing in the foreground.,"In the foreground, children can be heard playing while a jackhammer operates in the background.","The sound of children playing is prominent in the foreground, accompanied by the distant noise of a jackhammer in the background.","Amidst the background noise of a jackhammer, children can be heard playing in the foreground.","Children are playing and their laughter fills the foreground, while a jackhammer hums in the background."
uniform_soundscape_siren_dog_bark_1.wav,A dog barks in the foreground and a siren can be heard in the background.,"In the foreground, a siren blares while a dog barks in the background.",The sound of a siren fills the background as a dog barks in the foreground.,A siren wails in the background while a dog barks loudly in the foreground.,"Amidst the background noise of a siren, a dog barks in the foreground."
uniform_soundscape_siren_dog_bark_4.wav,A dog barks in the foreground while a siren blares in the background.,"In the background, a siren wails as a dog barks in the foreground.",The sound of a siren fills the background while a dog barks loudly in the foreground.,"Amidst the background noise of a siren, a dog barks in the foreground.",A siren blares in the background as a dog barks prominently in the foreground.
